Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Second,4,15,7,Right-handed,Left leg in first,On your right side,Bird,6
First,9,6,7.5,Right-handed,Left leg in first,On your left side,Bird,2
First,8,9,7,Right-handed,Right leg in first,On your right side,Bird,2
Second,8,20,7,Left-handed,Right leg in first,On your back,Bird,2
Third,8,5,5,Left-handed,Right leg in first,On your back,Bird,2
First,7,5,5,Right-handed,Right leg in first,On your back,Bird,1
First,5,3,6,Right-handed,Right leg in first,On your back,Bird,0
First,4,3,8,Right-handed,Left leg in first,On your left side,Bird,0
First,1,2,3,Right-handed,Right leg in first,On your left side,Bird,0
Fourth,4,5,4,Right-handed,Left leg in first,On your back,Bird,0
Second,9,10,7.5,Right-handed,I don't know,On your back,Bird,0
Second,2,3,7,Right-handed,Left leg in first,On your left side,Bird,0
Third,3,10,7,Right-handed,I don't know,On your back,Bird,0
Third,7,4,7.5,Right-handed,Right leg in first,On your back,Bird,0
Third,8,35,4,Right-handed,Right leg in first,On your back,Bird,0
Second,9,15,6,Left-handed,Right leg in first,On your stomach,"Bird, plants <3",6
First,9,10,7,Right-handed,Right leg in first,On your right side,Brother,4
Fourth,3,2,8,Right-handed,Left leg in first,On your back,Cat,10
Fourth,5,4,7,Ambidextrous ,Left leg in first,On your back,Cat,8
First,6,4,7,Right-handed,Right leg in first,On your left side,Cat,7
Second,6,14,5,Left-handed,Right leg in first,On your right side,Cat,7
Second,5,10,7,Right-handed,Right leg in first,On your right side,Cat,7
First,7,15,7,Right-handed,Right leg in first,On your back,Cat,6
First,3,20,9,Right-handed,I don't know,On your stomach,Cat,6
Fourth,3,5,8,Right-handed,Right leg in first,On your left side,Cat,6
Second,7,12,8,Right-handed,I don't know,On your back,Cat,6
Second,6,15,8,Left-handed,Right leg in first,On your back,Cat,6
Second,3,4,7,Right-handed,Right leg in first,On your right side,Cat,6
Second,4,2,6,Right-handed,Right leg in first,On your right side,Cat,6
Third,8,10,8,Right-handed,Right leg in first,On your right side,Cat,6
First,6,3,7,Right-handed,Right leg in first,On your right side,Cat,5
First,8,3,7,Right-handed,Right leg in first,On your right side,Cat,5
Second,10,5,6,Right-handed,Right leg in first,On your left side,Cat,5
Second,5,4,6,Right-handed,Left leg in first,On your right side,Cat,5
Second,3,3,7,Right-handed,Right leg in first,On your stomach,Cat,5
Second,7,15,7,Right-handed,Right leg in first,On your stomach,Cat,5
First,4,4,6.5,Right-handed,Left leg in first,On your left side,Cat,4
First,3,4,7,Right-handed,Right leg in first,On your left side,Cat,4
First,8,7,7,Right-handed,Left leg in first,On your right side,Cat,4
First,8,8,8.5,Right-handed,Right leg in first,On your right side,Cat,4
Second,7,10,6.5,Left-handed,Right leg in first,On your left side,Cat,4
Second,8,5,6,Right-handed,Right leg in first,On your left side,Cat,4
Second,9,7,7,Right-handed,Right leg in first,On your left side,Cat,4
Second,7,3,7,Right-handed,Left leg in first,On your right side,Cat,4
Second,4,2,6,Right-handed,Right leg in first,On your right side,Cat,4
Second,7,10,7,Right-handed,Right leg in first,On your right side,Cat,4
Third,5,2,6,Right-handed,Right leg in first,On your right side,Cat,4
Third,5,13,7,Right-handed,Right leg in first,On your right side,Cat,4
